#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
201101194008  2011   1  19   3  24  53.00 -97.1120  35.6210     5.00    2.8    
201101224021  2011   1  22   8  22   3.00 -97.1210  35.6110     5.20    2.5    
201101254020  2011   1  25   8  48  48.00 -97.4660  34.7130     4.00    2.6    
201101304024  2011   1  30   6  56  34.00 -97.1220  35.6090     5.00    2.5    
201102024021  2011   2   2  12   4  19.00 -97.1660  35.6270     5.00    2.6    
201102044008  2011   2   4   2  29   6.00 -97.4020  35.4800     5.00    2.6    
201102154049  2011   2  15  23  21  41.00 -97.2490  35.5390     5.10    2.5    
201102174015  2011   2  17   5  42  51.00 -97.2430  35.6150     3.30    2.5    
201102194010  2011   2  19   5  56  39.00 -99.6670  35.7510     5.00    2.7    
201102224039  2011   2  22   6  51  40.00 -97.0010  35.4340     5.00    2.8    
201103032005  2011   3   3   2  50  16.00 -97.0830  35.4500     5.00    2.8    
201103112185  2011   3  11  10  23  56.00 -97.0870  35.4500     5.00    3.1    
201103172013  2011   3  17   1  24  27.00 -97.7460  34.8540     5.00    2.7    
201103232006  2011   3  23   0  16  41.00 -97.0730  35.5710     3.20    2.8    
201103232091  2011   3  23  19  33  55.00 -97.4460  34.6660     5.00    2.5    
201103252068  2011   3  25  17  34  47.00 -96.5390  35.4300     5.00    2.6    
201103312019  2011   3  31   5  30  41.00 -96.5300  35.4390     1.10    3.2    
201104262041  2011   4  26  13   0   6.00 -97.4400  34.6920     5.00    2.5    
201105102012  2011   5  10   4  59   5.00 -97.0260  35.4580     5.00    2.7    
201105112028  2011   5  11   9  39  22.00 -97.4320  35.7130     1.10    2.5    
201105152018  2011   5  15   5  43  55.00 -96.5690  35.4370     5.00    2.9    
201105192002  2011   5  19   2  46  46.00 -97.1960  35.5860     3.10    2.8    
201105212030  2011   5  21  12  14  15.00 -97.1930  35.5840     3.00    2.7    
201105282023  2011   5  28   7  51  32.00 -96.4960  34.5170     3.20    2.9    
201106172027  2011   6  17   6  14   1.00 -97.2480  35.6160     3.20    2.5    
201107012015  2011   7   1   9   3  29.00 -97.1210  35.6320     5.00    2.6    
201107152010  2011   7  15   2  43  16.00 -96.1100  34.7450     1.10    2.6    
201107162014  2011   7  16   5  14   3.00 -96.5480  35.4140     1.10    2.5    
201107222016  2011   7  22   4  39  24.00 -96.3950  34.6790     5.00    2.6    
201107242006  2011   7  24   3  53   6.00 -96.5520  35.4180     1.10    2.5    
201107302012  2011   7  30   3  53  45.00 -97.2490  35.4990     7.80    2.7    
201107302013  2011   7  30   3  38  56.00 -97.2570  35.4990     7.60    2.6    
201108012008  2011   8   1   1   7  20.00 -97.2260  35.5220     5.00    3.0    
201108072022  2011   8   7   7  47  34.00 -97.4490  35.4360     5.00    2.5    
201108072035  2011   8   7  13  57   1.00 -97.3720  35.4800     3.80    2.5    
201108102034  2011   8  10  23  18  48.00 -97.3010  35.6540     5.00    2.5    
201108172004  2011   8  17   0  53  26.00 -97.3660  35.4670    14.80    2.7    
201108182027  2011   8  18  16  52  50.00 -97.7440  34.8810     5.00    3.0    
201108222054  2011   8  22  22  38  38.00 -97.3660  35.5260     5.00    2.5    
201108232049  2011   8  23  22  40  40.00 -97.3640  35.5210     7.00    2.9    
201108312055  2011   8  31  19  25  58.00 -97.2500  35.4980     3.10    3.0    
201109012001  2011   9   1   0  45  43.00 -97.2330  35.6240     3.20    2.6    
201109012010  2011   9   1   5  52   4.00 -97.2980  35.6570     3.20    2.5    
201109012020  2011   9   1  12  58  53.00 -96.3940  34.6670     1.30    2.5    
201109052006  2011   9   5   1  29  40.00 -97.2220  35.6650     3.10    2.7    
201109052037  2011   9   5  13  30  51.00 -97.3750  35.5240     3.30    2.7    
201109062001  2011   9   6   0   6  19.00 -97.0450  35.4660     5.00    3.0    
201109062020  2011   9   6   8  30  59.00 -97.2440  34.5750     0.00    2.6    
201109122031  2011   9  12  15  28  35.00 -97.2440  35.6290     3.40    3.3    
201109182031  2011   9  18  15  30  44.00 -97.2450  35.5000     4.30    2.6    
201110022015  2011  10   2   9  22  21.00 -97.2830  35.5600     3.50    2.5    
201110052023  2011  10   5  10  27  40.00 -97.2320  35.5040     3.80    3.0    
201110132038  2011  10  13  21  53  50.00 -96.6960  35.8990     5.00    2.5    
201110182007  2011  10  18   5  27  51.00 -97.3590  35.4800     5.00    2.9    
201110232020  2011  10  23   5   2  44.00 -97.3870  35.5080     3.20    2.6    
201110232022  2011  10  23   7  35  58.00 -97.3910  35.5110     3.10    2.8    
201110282011  2011  10  28   6  57  24.00 -97.3800  35.5180     3.20    3.2    
201110282020  2011  10  28   9  46  18.00 -97.3860  35.5250     5.00    3.4    
201111052013  2011  11   5   7  45  12.00 -96.7640  35.5500     3.10    5.0    
201111052016  2011  11   5   7  19  27.00 -96.7650  35.5440     3.20    3.3    
201111052018  2011  11   5   7  34  44.00 -96.7610  35.5400     5.00    2.6    
201111052020  2011  11   5   7  42  50.00 -96.7690  35.5540     5.00    2.6    
201111052021  2011  11   5   7  35  55.00 -96.7570  35.5330     5.00    2.6    
201111052025  2011  11   5   9  11  12.00 -96.7660  35.5280     5.00    3.3    
201111052027  2011  11   5  11  15  24.00 -96.7730  35.5250     5.00    3.4    
201111052030  2011  11   5  13  26  42.00 -96.7660  35.5300     5.00    3.2    
201111052032  2011  11   5  14  30  36.00 -96.7780  35.5180     5.00    3.6    
